time_unix_epoch,time_unix_epoch,user_accel_x,user_accel_y,user_accel_z,accel_x,accel_y,accel_z,accel_longitudinal,accel_lateral,accel_vertical,usage_probability
1467938284.1,1467938284.1,0.179148883258,1.85284572562,2.29733782155,0.26171875,-1.599609375,9.763671875,,,,0
1467938284.16,1467938284.16,0.36897120534,3.72946865935,4.15710077021,0.791015625,-1.6123046875,9.50927734375,,,,0
1467938284.22,1467938284.22,0.518973508673,5.33938557768,5.62121168887,0.43359375,-1.4697265625,9.7939453125,,,,0
1467938284.28,1467938284.28,0.484741201625,5.75859960189,5.25288518688,-0.216796875,-1.28955078125,10.130859375,,,,0
1467938284.34,1467938284.34,0.383772193314,5.78917252156,4.58644290537,-0.5888671875,-1.26318359375,10.2026367188,,,,0
1467938284.4,1467938284.4,0.13758846498,4.95282541217,3.27872445355,-0.79736328125,-1.28466796875,10.3046875,,,,0
1467938284.46,1467938284.46,0.0181417736505,4.15471581701,2.31526752199,-0.509765625,-1.34228515625,10.2827148438,,,,0
1467938284.52,1467938284.52,0.0640102002705,3.42240235914,1.81421187469,0.6142578125,-1.732421875,10.076171875,,,,0
1467938284.58,1467938284.58,0.260830822458,2.84044172211,1.45654302838,1.25927734375,-1.6669921875,10.1293945312,,,,0
1467938284.64,1467938284.64,0.556927346713,2.37001320224,1.2020302877,0.9873046875,-1.46337890625,9.92529296875,,,,0
1467938284.7,1467938284.7,0.562425908714,2.06367791059,0.957744960786,0.25390625,-1.39794921875,9.8427734375,,,,0
1467938284.76,1467938284.76,0.45484876255,1.81967545702,0.716217220427,-0.5478515625,-1.36767578125,9.666015625,,,,0
1467938284.82,1467938284.82,0.196034083362,1.65764974172,0.601717495711,-0.365234375,-1.3173828125,9.58984375,,,,0
1467938284.88,1467938284.88,-0.0785270792095,1.50849052011,0.510133935961,0.470703125,-1.29345703125,10.2568359375,,,,0
1467938284.94,1467938284.94,0.0691088969038,1.37940792701,0.615251192895,0.8603515625,-1.2177734375,10.40625,,,,0
1467938285.95,1467938285.95,0.0174172184117,1.10165051701,0.257528181011,0.0927734375,-1.10791015625,9.701171875,,,,0
1467938286.01,1467938286.01,-0.01221147189,1.07804500061,0.264295347338,0.01513671875,-1.11083984375,9.8330078125,,,,0
1467938286.07,1467938286.07,-0.0156009106507,1.03930014561,0.332997369357,0.15380859375,-0.97314453125,10.2822265625,,,,0
1467938286.13,1467938286.13,0.0127349847772,0.996278040961,0.426331548604,0.4345703125,-0.89794921875,10.4526367188,,,,0
1467938286.19,1467938286.19,0.0693814439059,0.94943907033,0.541646591855,0.37646484375,-0.7392578125,10.283203125,,,,0
1467938286.25,1467938286.25,0.0937876063737,0.873776103592,0.543164206355,0.232421875,-0.84423828125,9.8388671875,,,,0
1467938286.31,1467938286.31,0.102909577878,0.784448515045,0.490733755475,0.15380859375,-1.05078125,9.78369140625,,,,0
1467938286.37,1467938286.37,0.0750184647549,0.676867486853,0.43735723311,0.068359375,-0.9658203125,10.1943359375,,,,0
1467938286.43,1467938286.43,0.0394573856606,0.565503924393,0.383784662883,0.28076171875,-0.77490234375,10.4599609375,,,,0
1467938286.49,1467938286.49,0.0709112072232,0.511231098878,0.467874571585,0.4775390625,-0.6787109375,10.4321289062,,,,0
1467938286.55,1467938286.55,0.101071294344,0.455306189603,0.539806163223,0.45263671875,-0.85595703125,10.1733398438,,,,0
1467938286.61,1467938286.61,0.113097317826,0.374417835255,0.506215388548,0.26123046875,-1.0185546875,9.9560546875,,,,0
1467938286.67,1467938286.67,0.100549106796,0.281695938807,0.447685334549,0.03857421875,-1.09912109375,9.90625,,,,0
1467938286.73,1467938286.73,0.0215860958189,0.156992483345,0.321753903455,0.03564453125,-1.18359375,9.88232421875,,,,0
1467938286.79,1467938286.79,-0.0310899423266,0.0734000447962,0.249511672544,0.13525390625,-0.9951171875,10.01171875,,,,0
1467938286.85,1467938286.85,-0.0474698442364,0.0465722660755,0.251401618691,0.2958984375,-0.810546875,10.1865234375,,,,0
1467938287.87,1467938287.87,0.0417568883907,0.989946403191,0.489054824761,0.2177734375,0.24609375,10.25390625,,,,0
1467938287.93,1467938287.93,0.033437073503,1.00613384055,0.455663669859,0.2578125,0.384765625,10.2280273438,,,,0
1467938287.99,1467938287.99,0.0225675152432,1.01355335269,0.416518479943,0.16552734375,0.29736328125,9.994140625,,,,0
1467938288.05,1467938288.05,-0.0247660335768,0.935216000739,0.344013275072,-0.06689453125,0.1474609375,9.89794921875,,,,0
1467938288.11,1467938288.11,-0.0695061729685,0.848167881418,0.275516454996,-0.123046875,0.20166015625,10.0766601562,,,,0
1467938288.17,1467938288.17,-0.101945594025,0.727829816615,0.226009570093,0.07421875,0.29296875,10.01171875,,,,0
1467938288.23,1467938288.23,-0.101327010494,0.625369460255,0.194243381571,0.216796875,0.15625,9.85595703125,,,,0
1467938288.28,1467938288.28,-0.0311247164025,0.549454449187,0.196358075983,0.32763671875,0.20556640625,10.1416015625,,,,0
1467938288.34,1467938288.34,0.0302251622941,0.476184343256,0.209759993902,0.35205078125,0.24609375,10.15625,,,,0
1467938288.4,1467938288.4,0.0767650819574,0.406755547883,0.243018521052,0.1435546875,0.056640625,9.93798828125,,,,0
1467938288.46,1467938288.46,0.08229664841,0.334737213558,0.26677395762,-0.02197265625,0.00341796875,10.0952148438,,,,0
1467938288.52,1467938288.52,0.0450410511588,0.262409332889,0.279871161952,0.11328125,0.060546875,10.1918945312,,,,0
1467938288.58,1467938288.58,0.0275817101787,0.216688087073,0.274046876876,0.326171875,0.236328125,10.072265625,,,,0
